date,headline,url,categories,summary,vibe,in_top7,source,theme,countries
2026-05-08,UAE Eases Minimum Property Threshold for Two-Year Investor Residence Visa,https://www.crownworldmobility.com/insights/immigration-weekly-update-may-7-2026/,Destination Countries,UAE eases the minimum property threshold for its two-year investor residence visa.,positive,TRUE,Crown World Mobility,Visas and Work Permits,UAE
2026-05-08,"22,500+ Seafarers Stranded in Persian Gulf; Philippines, South Asian Workers in Limbo",https://www.aljazeera.com/news/2026/5/8/as-us-and-iran-weigh-peace-deal-stranded-seafarers-wait-in-limbo,Destination Countries|Competitor Countries,"Over 22,500 seafarers remain stranded in the Persian Gulf amid stalled US-Iran peace talks.",negative,TRUE,Al Jazeera,Enforcement and Crisis,Gulf Region|Philippines
2026-05-08,"Germany Declares India ""Country of Choice"" for Skilled Migration; Triple Win",https://ianslive.in/india-country-of-choice-for-skilled-worker-migration-german-official--20260508072102,India Specific|Destination Countries,Germany declares India its 'country of choice' for skilled migration.,positive,TRUE,IANS,Skills and Talent,Germany
2026-05-08,"Indian Seafarers Recount Nightly Blasts, Hunger and Fear in Iran War Ordeal",https://www.al-monitor.com/originals/2026/05/indian-seafarers-endured-nightly-blasts-lack-food-iran-war-ordeal,India Specific|Destination Countries,"Indian seafarers recount nightly blasts, hunger and fear during the Iran war ordeal.",negative,TRUE,Al-Monitor,Enforcement and Crisis,Gulf Region
2026-05-08,"Trapped in Hormuz: 20,000+ Indian Maritime Workers Stranded; 2,680 Evacuated",https://gcaptain.com/trapped-in-hormuz-indian-sailors-describe-nights-of-missiles-fear-and-hunger/,India Specific|Destination Countries,"Over 20,000 Indian maritime workers remain stranded in Hormuz, with only 2,680 evacuated.",negative,TRUE,gCaptain,Enforcement and Crisis,Gulf Region
2026-05-08,India Tops Global Remittances at $137.7B; IOM Flags Gulf Corridor Vulnerability,https://ianslive.in/india-worlds-top-receiver-of-remittances-from-workers-overseas-getting-1377-billion--20260506061803,India Specific|Destination Countries,"India tops global remittances at $137.7B, though IOM flags Gulf corridor vulnerability.",positive,TRUE,IANS,Remittances and Diaspora,India|Gulf Region
2026-05-11,UAE Airports Briefly Halt Flights Amid Missile Alert — Gulf Lifeline Disrupted,https://www.visahq.com/news/2026-05-10/ae/reports-claim-abu-dhabi-and-dubai-airports-briefly-suspended-traffic-amid-weekend-missile-scare/,Destination Countries,UAE airports briefly halt flights amid a missile alert.,negative,TRUE,VisaHQ,Enforcement and Crisis,UAE|Gulf Region
2026-05-11,"UK Channel Crossings Hit 200,000 Milestone — Fresh Pressure to Tighten Immigration",https://www.visahq.com/news/2026-05-10/gb/channel-small-boat-arrivals-hit-200000-milestone-piling-pressure-on-uk-migration-policy/,Destination Countries,"UK Channel crossings hit the 200,000 milestone, piling pressure on migration policy.",negative,TRUE,VisaHQ,Enforcement and Crisis,United Kingdom
2026-05-11,British Airways Freezes Abu Dhabi Route as Middle East Conflict Deepens,https://www.visahq.com/news/2026-05-10/gb/british-airways-freezes-abu-dhabi-route-as-middle-east-conflict-keeps-uk-carriers-in-holding-pattern/,Destination Countries,British Airways freezes its Abu Dhabi route as the Middle East conflict deepens.,negative,TRUE,VisaHQ,Enforcement and Crisis,United Kingdom|UAE
2026-05-11,UK Healthcare Staffing App Automates 'Share Code' Right-to-Work Checks,https://www.visahq.com/news/2026-05-10/gb/digital-share-code-checks-become-standard-as-healthcare-staffing-app-automates-right-to-work-verification/,Destination Countries,A UK healthcare staffing app automates Share Code right-to-work checks.,neutral,TRUE,VisaHQ,Visas and Work Permits,United Kingdom
2026-05-11,Austria-Romania Bust Human-Trafficking Ring Exploiting Migrant Women,https://www.visahq.com/news/2026-05-10/at/austrian-romanian-police-operation-breaks-human-trafficking-ring-exploiting-migrant-women/,Destination Countries,Austria and Romania bust a human-trafficking ring exploiting migrant women.,negative,TRUE,VisaHQ,Enforcement and Crisis,Austria|Romania
2026-05-11,US Revokes Visas of 27 Cruise-Ship Crew After Child-Exploitation Probe,https://www.visahq.com/news/2026-05-10/us/us-revokes-visas-of-27-cruise-ship-crew-members-after-child-exploitation-probe/,Destination Countries,US revokes visas of 27 cruise-ship crew after a child-exploitation probe.,negative,TRUE,VisaHQ,Enforcement and Crisis,United States
2026-05-11,Indonesia Reaffirms Migrant Worker Protection Commitment at UN IMRF,https://www.thestar.com.my/aseanplus/aseanplus-news/2026/05/11/indonesia-reaffirms-commitment-to-migrant-worker-protection-at-un-migration-forum,Competitor Countries,Indonesia reaffirms its migrant worker protection commitment at the UN IMRF.,neutral,TRUE,The Star (Malaysia),Labour and Workers,Indonesia
2026-05-11,Philippine OFWs Safely Repatriated from Dubai Amid Middle East Tensions,https://filipinotimes.net/latest-news/2026/05/10/10-ofws-from-dubai-safely-return-to-ph-amid-middle-east-tensions/,Destination Countries|Competitor Countries,Philippine OFWs are safely repatriated from Dubai amid Middle East tensions.,neutral,TRUE,Filipino Times,Enforcement and Crisis,Philippines|UAE
2026-05-11,India–EFTA Bern Mission Pivots Trade Deal Towards People Mobility,https://www.visahq.com/news/2026-05-10/in/commerce-secretarys-bern-mission-pushes-india-efta-trade-deal-from-paper-to-people-mobility/,India Specific|Destination Countries,India-EFTA Bern mission pivots the trade deal towards people mobility.,positive,TRUE,VisaHQ,Bilateral Deals and Trade,Switzerland
2026-05-11,Karnataka HC Rules Tourist Visas Cannot Cover Business Activities,https://www.visahq.com/news/2026-05-10/in/karnataka-high-court-clarifies-that-tourist-visas-cannot-cover-business-activities/,India Specific,Karnataka High Court rules tourist visas cannot cover business activities.,neutral,TRUE,VisaHQ,Visas and Work Permits,India
2026-05-12,UAE Airspace Locked Down as Iranian Drone Strikes Disrupt Gulf Hubs,https://www.visahq.com/news/2026-05-11/ae/regional-airspace-restrictions-return-as-new-drone-barrage-disrupts-emirates-and-etihad-hubs/,Destination Countries,UAE airspace locked down as Iranian drone strikes disrupt Emirates and Etihad hubs.,negative,TRUE,VisaHQ,Enforcement and Crisis,UAE|Gulf Region
2026-05-12,"US Rejects UN Migration Forum Declaration, Signals Continued Restrictionism",https://www.usnews.com/news/world/articles/2026-05-11/us-rejects-un-migration-forum-declaration-state-department-says,Destination Countries,"The US rejects the UN Migration Forum declaration, signalling continued restrictionism.",negative,TRUE,U.S. News,Other,United States
2026-05-12,USCIS Can Now Deny Accepted Immigration Petitions for Invalid Signatures,https://www.visahq.com/news/2026-05-11/us/uscis-issues-interim-final-rule-allowing-denial-of-approved-petitions-over-invalid-signatures/,Destination Countries,USCIS can now deny already-accepted immigration petitions over invalid signatures.,negative,TRUE,VisaHQ,Visas and Work Permits,United States
2026-05-12,"Czech Republic Releases 2,000 New Non-EU Worker Slots for May",https://www.visahq.com/news/2026-05-11/cz/czech-trade-ministry-adds-2000-new-qualified-employee-slots-as-may-quota-opens/,Destination Countries,"Czech Republic releases 2,000 new non-EU worker slots for May.",positive,TRUE,VisaHQ,Visas and Work Permits,Czech Republic
2026-05-12,Switzerland Sets 14 June Vote on Hard 10-Million Population Cap,https://www.visahq.com/news/2026-05-11/ch/switzerland-sets-14-june-vote-on-landmark-10-million-population-cap/,Destination Countries,Switzerland sets a 14 June vote on a hard 10-million population cap.,negative,TRUE,VisaHQ,Visas and Work Permits,Switzerland
2026-05-12,Canada Express Entry PNP Draw Issues 380 Invitations at CRS Cutoff 798,https://immigrationnewscanada.ca/new-first-express-entry-draw-of-may-2026/,Destination Countries,Canada's Express Entry PNP draw issues 380 invitations at a CRS cutoff of 798.,neutral,TRUE,Immigration News Canada,Skills and Talent,Canada
2026-05-12,"Spain Fights to Preserve Amnesty for 500,000 Undocumented Migrants",https://www.visahq.com/news/2026-05-11/es/spanish-state-counsel-urges-supreme-court-not-to-freeze-mass-regularisation-of-500000-migrants/,Destination Countries,"Spain fights to preserve amnesty for 500,000 undocumented migrants.",positive,TRUE,VisaHQ,Visas and Work Permits,Spain|European Union
2026-05-12,Poland Nationwide e-ID Outage Freezes All Residence-Permit Applications,https://www.visahq.com/news/2026-05-11/pl/nationwide-e-id-outage-in-poland-freezes-online-residence-permit-filings/,Destination Countries,A nationwide e-ID outage in Poland freezes all residence-permit applications.,negative,TRUE,VisaHQ,Visas and Work Permits,Poland
2026-05-12,China Gains Visa-Free Access to Brazil as Reciprocal Waiver Takes Effect,https://www.visahq.com/news/2026-05-11/cn/brazils-visa-free-entry-for-chinese-citizens-takes-effect-opening-the-door-to-south-america/,Destination Countries|Competitor Countries,China gains visa-free access to Brazil as a reciprocal waiver takes effect.,negative,TRUE,VisaHQ,Visas and Work Permits,Brazil|China
2026-05-12,"India Activates 24/7 War Room, Evacuates 5,500+ Nationals as Gulf Crisis Deepens",https://www.visahq.com/news/2026-05-11/in/india-activates-247-war-room-and-repatriates-2500-nationals-as-west-asia-crisis-escalates/,India Specific|Destination Countries,"India activates a 24/7 war room and evacuates 5,500+ nationals as the Gulf crisis deepens.",negative,TRUE,VisaHQ,Enforcement and Crisis,Gulf Region
2026-06-13,US EB-2 Immigrant Visas for India Exhausted,https://www.klaskolaw.com/june-2026/,India Specific|Destination Countries,US EB-2 immigrant visas for India are exhausted for FY2026.,negative,TRUE,Klasko Immigration Law,Visas and Work Permits,United States
2026-06-13,EB-1 and EB-2 India Cutoff Dates Retrogress,https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2026/visa-bulletin-for-june-2026.html,India Specific|Destination Countries,EB-1 and EB-2 India cutoff dates retrogress in the June visa bulletin.,negative,TRUE,US State Department,Visas and Work Permits,United States
2026-06-13,Federal Judge Blocks US Immigration Processing Halt,https://www.boundless.com/blog/boundless-weekly-immigration-news,Destination Countries,A federal judge blocks US immigration processing halt policies.,positive,TRUE,Boundless,Visas and Work Permits,United States
2026-06-13,US Proposes Limits on Discretionary Work Authorization,https://ariasvilla.com/new-work-permit-proposal-asylum-office-expansion-and-visa-processing-updates/,Destination Countries,US proposes limits on discretionary work authorization for certain aliens.,negative,TRUE,Arias Villa,Visas and Work Permits,United States
2026-06-13,Philippines EB-3 Visa Category May Face Retrogression,https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2026/visa-bulletin-for-june-2026.html,Destination Countries|Competitor Countries,Philippines EB-3 visa category may face retrogression due to high demand.,neutral,TRUE,US State Department,Visas and Work Permits,United States|Philippines
2026-06-15,US Visa Bulletin: India EB-2 Retrogresses 10+ Months,https://travel.state.gov/content/travel/en/legal/visa-law0/visa-bulletin/2026/visa-bulletin-for-june-2026.html,India Specific|Destination Countries,US Visa Bulletin shows India EB-2 retrogressing more than 10 months.,negative,TRUE,US State Department,Visas and Work Permits,United States
2026-06-15,Estonia Implements Major Immigration Reforms for Foreign Workers,https://www.fragomen.com/insights/estonia-significant-immigration-reforms-increase-foreign-worker-employment-flexibility.html,Destination Countries,Estonia implements major immigration reforms increasing flexibility for foreign workers.,positive,TRUE,Fragomen,Visas and Work Permits,Estonia
2026-06-15,Kuwait Suspends All Commercial Visit Visas Indefinitely,https://nairametrics.com/2026/06/13/kuwait-suspends-commercial-visit-visas-disrupts-business-travel-globally/,Destination Countries,Kuwait indefinitely suspends all Commercial Visit Visas.,negative,TRUE,Nairametrics,Visas and Work Permits,Kuwait
2026-06-15,Gulf Corporate Relocations Remain Resilient Despite Regional Tensions,https://www.agbi.com/analysis/employment/2026/06/corporate-relocations-to-the-gulf-retain-appeal/,Destination Countries,Gulf corporate relocations remain resilient despite regional tensions.,neutral,TRUE,AGBI,Other,UAE|Saudi Arabia
2026-06-15,Costa Rica Introduces Humanitarian Permit for Latin American Nationals,https://www.visasupdate.com/post/costa-rica-special-humanitarian-permit-2026,Destination Countries,Costa Rica introduces a special humanitarian permit for Latin American nationals.,positive,TRUE,VisasUpdate,Visas and Work Permits,Costa Rica
2026-06-16,India-EU Mobility Pact Draft Finalized — Implementation July 2026,https://www.visahq.com/news/2026-04-24/in/india-and-eu-finalise-draft-of-comprehensive-mobility-pact-covering-work-and-study-routes/,India Specific|Destination Countries,"India-EU Mobility Pact draft is finalized, targeting implementation in July 2026.",positive,TRUE,VisaHQ,Bilateral Deals and Trade,European Union
2026-06-16,AYUSH Practitioners Get EU Recognition Under India Pact,https://www.radvisionworld.com/blog/what-does-the-mobility-deal-between-the-eu-and-india-mean-for-skilled-workers/,India Specific|Destination Countries,AYUSH practitioners get EU recognition under the India-EU mobility pact.,positive,TRUE,Radvision World,Skills and Talent,European Union
2026-06-16,"Italy Approves 500,000 Work Permits for 2026-2028",https://www.infomigrants.net/en/post/71133/spains-migrant-regularization-scheme-what-it-means-for-mobility-across-the-eu,Destination Countries,"Italy approves close to 500,000 work permits for non-EU nationals for 2026-2028.",positive,TRUE,InfoMigrants,Visas and Work Permits,Italy
2026-06-16,Germany Launches Work-and-Stay Agency for Skilled Immigration,https://www.infomigrants.net/en/post/71211/struggling-to-retain-workforce-talent-some-eu-countries-turn-to-recruiting-from-abroad,Destination Countries,Germany launches the Work-and-Stay Agency to simplify skilled immigration.,positive,TRUE,InfoMigrants,Skills and Talent,Germany
2026-06-16,"France Updates ""Under Strain"" Sectors List for Work Permits",https://www.infomigrants.net/en/post/71211/struggling-to-retain-workforce-talent-some-eu-countries-turn-to-recruiting-from-abroad,Destination Countries,France updates its 'under strain' sectors list to facilitate expedited work permits.,positive,TRUE,InfoMigrants,Visas and Work Permits,France
2026-06-17,India-Israel Sign Labour Mobility MoU,https://ddnews.gov.in/en/india-israel-sign-16-mous-pm-modi-and-pm-netanyahu-announce-special-strategic-partnership/,India Specific|Destination Countries,India and Israel sign 16 MoUs including a labour mobility agreement.,positive,TRUE,DD News,Bilateral Deals and Trade,Israel
2026-06-17,Germany Proposes Six-Week Fast-Track Skilled Worker Visa,https://www.visahq.news/,Destination Countries,Germany proposes a six-week fast-track skilled worker visa.,positive,TRUE,VisaHQ,Visas and Work Permits,Germany
2026-06-17,Italy Extends Asylum Job-Access Wait to 90 Days,https://www.visahq.news/,Destination Countries,Italy extends the asylum job-access wait to 90 days.,negative,TRUE,VisaHQ,Enforcement and Crisis,Italy
2026-06-17,France Operationalises EU Migration Pact with Biometric Screening,https://www.visahq.news/,Destination Countries,France operationalises the EU Migration Pact with mandatory biometric screening.,neutral,TRUE,VisaHQ,Enforcement and Crisis,France|European Union
2026-06-17,Czech Republic Attracts Scientific and Technical Talent,https://iuslaboris.com/insights/global-mobility-update-june-2026/,Destination Countries,Czech Republic introduces new efforts to attract scientific and technical talent.,positive,TRUE,Ius Laboris,Skills and Talent,Czech Republic
2026-06-17,Sweden Tightens Migration Rules,https://iuslaboris.com/insights/global-mobility-update-june-2026/,Destination Countries,Sweden tightens migration rules per the June 2026 global mobility update.,negative,TRUE,Ius Laboris,Visas and Work Permits,Sweden
2026-06-18,EU-India mobility pact targets July 1 provisional entry,https://www.radvisionworld.com/blog/what-does-the-mobility-deal-between-the-eu-and-india-mean-for-skilled-workers/,India Specific|Destination Countries,The EU-India mobility pact targets July 1 for provisional entry into force.,positive,TRUE,Radvision World,Bilateral Deals and Trade,European Union
2026-06-18,NITI Aayog framework advances state-led international mobility,https://www.niti.gov.in/sites/default/files/2026-05/States-Framework-on-International-Mobility.pdf,India Specific,NITI Aayog's framework advances state-led international mobility.,positive,TRUE,NITI Aayog,Skills and Talent,India
2026-06-18,"India-Israel announce 50,000 worker quota for 5 years",https://ddnews.gov.in/en/india-israel-sign-16-mous-pm-modi-and-pm-netanyahu-announce-special-strategic-partnership/,India Specific|Destination Countries,"India and Israel announce a 50,000 worker quota over the next five years.",positive,TRUE,DD News,Bilateral Deals and Trade,Israel
2026-06-18,India secures 27 mobility agreements with 23 countries,https://ddnews.gov.in/en/indias-mobility-pacts-with-23-countries-must-be-expanded-to-protect-migrants-mos-kirti-vardhan-singh/,India Specific,India has secured 27 mobility agreements with 23 countries.,positive,TRUE,DD News,Bilateral Deals and Trade,India
2026-06-18,Thailand scraps 60-day visa-free entry for Indians,https://www.visahq.news/,India Specific|Destination Countries,"Thailand scraps 60-day visa-free entry for Indians, reinstating Visa-on-Arrival.",negative,TRUE,VisaHQ,Visas and Work Permits,Thailand
2026-06-19,India-Slovakia Sign Labour Migration Digital MoU,https://www.tribuneindia.com/news/world/india-slovakia-sign-mous-on-labour-migration-digital-technology/,India Specific|Destination Countries,India and Slovakia sign a labour migration and digital technology MoU.,positive,TRUE,Tribune India,Bilateral Deals and Trade,Slovakia
2026-06-19,India Emerges as Global Skills Hub,https://www.business-standard.com/immigration/india-emerges-as-global-skills-hub-amid-worldwide-talent-shifts-deel-126061100801_1.html,India Specific,"India emerges as a global skills hub amid worldwide talent shifts, per Deel's Global Talent Map.",positive,TRUE,Business Standard,Skills and Talent,India
2026-06-19,EU Migration Pact Becomes Fully Operational,https://www.hrw.org/news/2026/06/10/questions-and-answers-the-eu-pact-on-migration-and-asylum,Destination Countries,The EU Migration and Asylum Pact becomes fully applicable.,negative,TRUE,Human Rights Watch,Enforcement and Crisis,European Union
2026-06-19,Sweden Implements Stricter Labour Immigration Rules,https://www.safeguardglobal.com/resources/blog/sweden-new-labor-immigration-rules/,Destination Countries,Sweden implements stricter labour immigration rules with a higher wage requirement.,negative,TRUE,Safeguard Global,Visas and Work Permits,Sweden
2026-06-23,Quiet news day,https://gatifoundationgroup.slack.com/,,Quiet news day — 0 items found in the last 24 hours.,neutral,TRUE,Slack,Other,Global
2026-06-24,India and Slovakia sign labour migration MoU,https://www.tribuneindia.com/news/world/india-slovakia-sign-mous-on-labour-migration-digital-technology/,India Specific|Destination Countries,India and Slovakia sign an MoU on labour migration.,positive,TRUE,Tribune India,Bilateral Deals and Trade,Slovakia
2026-06-24,EB-2 India retrogresses 10.5 months in June visa bulletin,https://wolfsdorf.com/june-2026-visa-bulletin-sharp-retrogression-for-india-eb-1-and-eb-2-signals-mounting-pressure-on-employment-based-visa-numbers/,India Specific|Destination Countries,EB-2 India retrogresses 10.5 months in the June visa bulletin.,negative,TRUE,Wolfsdorf Rosenthal,Visas and Work Permits,United States
2026-06-24,Court strikes down $100k H-1B fee as bill threatens quota,https://restofworld.org/2026/h1b-visa-impact-india-tech-hiring-faamng/,Destination Countries,A court strikes down the $100k H-1B fee even as a bill threatens to slash the quota.,neutral,TRUE,Rest of World,Visas and Work Permits,United States
2026-06-24,India overhauls employment visa categories and FRRO rules,https://www.fragomen.com/insights/india-visa-registration-rules-and-employment-visa-categories-revised.html,India Specific,India overhauls employment visa categories and FRRO registration rules.,neutral,TRUE,Fragomen,Visas and Work Permits,India
2026-06-24,US moves to cap international student stays at fixed terms,https://www.outlookbusiness.com/news/us-clears-visa-rule-change-foreign-students-may-face-stay-limits-heres-what-it-means-for-indians,Destination Countries,US moves to cap international student stays at fixed terms.,negative,TRUE,Outlook Business,Students and Education,United States
2026-06-24,UK raises English bar and shuts care-worker visa route,https://www.nhsemployers.org/articles/impacts-changes-uk-immigration-policy,Destination Countries,UK raises the English bar and shuts the care-worker visa route.,negative,TRUE,NHS Employers,Visas and Work Permits,United Kingdom
2026-06-24,"Italy's Decreto Flussi opens ~498,000 work visas for 2026-28",https://italylawfirms.com/en/italian-decreto-flussi-2026-work-visa-quotas-clickdays/,Destination Countries,"Italy's Decreto Flussi opens ~498,000 non-EU work visas for 2026-28.",positive,TRUE,Italy Law Firms,Visas and Work Permits,Italy
2026-06-24,Germany updates Blue Card rules amid Indian nurse demand,https://www.make-it-in-germany.com/en/looking-for-foreign-professionals/entering/admission-labour-market/nursing-and-care-professionals,India Specific|Destination Countries,Germany updates Blue Card rules amid demand for Indian nurses.,positive,TRUE,Make it in Germany,Skills and Talent,Germany
2026-06-24,Canada slashes temporary residents 43% for 2026,https://www.fragomen.com/insights/canada-2026-2028-immigration-levels-plan-announced.html,Destination Countries,Canada slashes temporary residents 43% for 2026.,negative,TRUE,Fragomen,Visas and Work Permits,Canada
2026-06-24,Australia lifts Skills in Demand salary floors from July 1,https://www.fragomen.com/trending/australian-immigration.html,Destination Countries,Australia lifts Skills in Demand salary floors from July 1.,neutral,TRUE,Fragomen,Visas and Work Permits,Australia
2026-06-25,"India–Slovakia seal labour mobility MoU, social security pact next",https://organiser.org/2026/06/15/358367/world/india-slovakia-heralds-new-era-of-partnership-seal-mous-in-defence-digital-tech-counter-terrorism-labour-mobility/,India Specific|Destination Countries,"India and Slovakia seal a labour mobility MoU, with a social security pact next.",positive,TRUE,Organiser,Bilateral Deals and Trade,Slovakia
2026-06-25,EB-2 India retrogresses 10.5 months in June visa bulletin,https://www.fragomen.com/insights/june-2026-visa-bulletin.html,India Specific|Destination Countries,EB-2 India retrogresses 10.5 months in the June visa bulletin.,negative,TRUE,Fragomen,Visas and Work Permits,United States
2026-06-25,Court stay keeps $100k H-1B fee in force,https://www.crownworldmobility.com/insights/immigration-weekly-update-june-18-2026-2/,Destination Countries,A court stay keeps the $100k H-1B fee in force.,negative,TRUE,Crown World Mobility,Visas and Work Permits,United States
2026-06-25,India and EU finalise draft comprehensive mobility pact,https://www.visahq.com/news/2026-04-24/in/india-and-eu-finalise-draft-of-comprehensive-mobility-pact-covering-work-and-study-routes/,India Specific|Destination Countries,India and the EU finalise a draft comprehensive mobility pact covering work and study routes.,positive,TRUE,VisaHQ,Bilateral Deals and Trade,European Union
2026-06-25,US moves to cap international student stays at fixed terms,https://www.outlookbusiness.com/news/us-clears-visa-rule-change-foreign-students-may-face-stay-limits-heres-what-it-means-for-indians,Destination Countries,US moves to cap international student stays at fixed terms.,negative,TRUE,Outlook Business,Students and Education,United States
2026-06-25,UK raises English bar and shuts care-worker visa route,https://www.nhsemployers.org/articles/impacts-changes-uk-immigration-policy,Destination Countries,UK raises the English bar and shuts the care-worker visa route.,negative,TRUE,NHS Employers,Visas and Work Permits,United Kingdom
2026-06-25,"Italy's Decreto Flussi opens ~498,000 work visas for 2026-28",https://italylawfirms.com/en/italian-decreto-flussi-2026-work-visa-quotas-clickdays/,Destination Countries,"Italy's Decreto Flussi opens ~498,000 non-EU work visas for 2026-28.",positive,TRUE,Italy Law Firms,Visas and Work Permits,Italy
2026-06-25,"Germany launches digital skilled-worker visa portal, cuts Blue Card to 27 days",https://www.visahq.com/news/2026-02-24/de/germany-rolls-out-fully-digital-skilled-worker-visa-portal-across-all-embassies/,Destination Countries,"Germany launches a digital skilled-worker visa portal, cutting Blue Card processing to 27 days.",positive,TRUE,VisaHQ,Visas and Work Permits,Germany
2026-06-25,"Canada slashes temporary residents 43%, ends Student Direct Stream",https://www.fragomen.com/insights/canada-2026-2028-immigration-levels-plan-announced.html,Destination Countries,Canada slashes temporary residents 43% and ends the Student Direct Stream.,negative,TRUE,Fragomen,Visas and Work Permits,Canada
2026-06-25,Australia lifts Skills in Demand salary floors from July 1,https://www.fragomen.com/insights/minimum-salary-changes-announced.html,Destination Countries,Australia lifts Skills in Demand salary floors from July 1.,neutral,TRUE,Fragomen,Visas and Work Permits,Australia
2026-06-26,"Gulf conflict leaves 1M Indians stranded; 75,000+ summer flights axed",https://themigrationstory.com/post/waiting-for-flights-to-resume-gulf-bound-indian-workers-in-limbo-as-war-disrupts-travel/,India Specific|Destination Countries,"Gulf conflict leaves 1M Indians stranded as 75,000+ summer flights are axed.",negative,TRUE,The Migration Story,Enforcement and Crisis,Gulf Region
2026-06-26,US EB-2 India annual limit exhausted — category fully shut through Sept 30,https://www.fragomen.com/insights/united-states-eb-2-india-immigrant-visa-category-unavailable-through-september-30-after-reaching-annual-limit-for-fy-2026.html,India Specific|Destination Countries,"US EB-2 India annual limit is exhausted, shutting the category through Sept 30.",negative,TRUE,Fragomen,Visas and Work Permits,United States
2026-06-26,"Chile launches expedited 2-year, multi-entry business visa for Indian nationals",https://www.fragomen.com/insights/chile-expedited-business-visa-implemented-for-indian-nationals.html,India Specific|Destination Countries,Chile launches an expedited 2-year multi-entry business visa exclusively for Indian nationals.,positive,TRUE,Fragomen,Visas and Work Permits,Chile
